# Message code: 0 - Mouse move, 1 - Left button down
# 2 - Left button up, 3 - Right button down, 4 - Right button up
#
#(1501516783.25) Mon Jul 31 10:59:43 2017
#Time #X_pos #Y_pos #Message
1.219 268 249 0 
0.024 307 250 0 
0.017 428 250 0 
0.023 720 245 0 
0.016 958 240 0 
0.024 1323 226 0 
0.024 1665 159 0 
0.016 1829 98 0 
0.025 1948 25 0 
0.015 1952 13 0 
0.024 1928 7 0 
0.016 1904 8 0 
0.024 1886 21 0 
0.024 1881 28 0 
0.016 1880 28 0 
0.025 1876 30 0 
0.015 1872 30 0 
0.025 1869 31 0 
0.016 1865 32 0 
0.023 1859 32 0 
0.024 1857 32 0 
0.016 1855 29 0 
0.017 1849 25 0 
0.023 1831 20 0 
0.024 1815 20 0 
0.040 1814 19 0 
0.016 1815 16 0 
0.024 1816 15 0 
0.064 1815 14 0 
0.018 1813 12 0 
0.023 1809 10 0 
0.015 1808 9 0 
0.024 1807 8 0 
0.025 1806 8 0 
0.039 1806 8 1 
0.056 1806 8 2 
0.081 1806 8 1 
0.055 1806 8 2 
0.072 1806 8 1 
0.056 1806 8 2 
0.072 1806 8 1 
0.073 1806 8 2 
0.056 1806 8 1 
0.071 1806 8 2 
0.056 1806 8 1 
0.065 1806 8 2 
0.063 1806 8 1 
0.057 1806 8 2 
0.063 1806 8 1 
0.066 1806 8 2 
0.062 1806 8 1 
0.080 1806 8 2 
0.240 1806 8 3 
0.096 1806 8 4 
0.041 1806 9 0 
0.023 1806 13 0 
0.016 1806 16 0 
0.024 1806 22 0 
0.017 1806 28 0 
0.024 1806 40 0 
0.016 1806 51 0 
0.023 1806 70 0 
0.024 1806 86 0 
0.016 1806 92 0 
0.152 1807 93 0 
0.016 1809 88 0 
0.016 1809 84 0 
0.024 1809 78 0 
0.024 1809 76 0 
0.017 1809 75 0 
0.033 1809 74 0 
0.006 1809 73 0 
0.032 1809 71 0 
0.057 1809 71 1 
0.063 1809 71 2 
0.248 1809 71 0 
0.017 1806 74 0 
0.016 1790 78 0 
0.023 1730 85 0 
0.024 1551 85 0 
0.016 1378 87 0 
0.024 1041 87 0 
0.017 849 86 0 
0.023 646 77 0 
0.017 581 72 0 
0.023 563 72 0 
0.025 562 72 0 
0.015 559 72 0 
0.024 545 72 0 
0.016 534 72 0 
0.024 524 79 0 
0.016 520 83 0 
0.024 515 90 0 
0.024 506 100 0 
0.016 496 110 0 
0.024 471 136 0 
0.016 450 157 0 
0.024 422 184 0 
0.016 409 197 0 
0.024 395 208 0 
0.024 377 215 0 
0.016 370 218 0 
0.024 360 218 0 
0.016 356 219 0 
0.024 351 219 0 
0.016 345 219 0 
0.024 336 220 0 
0.024 333 220 0 
0.040 333 220 0 
0.016 331 220 0 
0.065 331 220 0 
0.023 339 220 0 
0.016 341 220 0 
0.160 341 219 0 
0.009 341 219 0 
0.015 339 219 0 
0.024 334 220 0 
0.016 332 221 0 
0.024 325 225 0 
0.016 323 226 0 
0.024 315 232 0 
0.024 305 241 0 
0.016 300 245 0 
0.056 299 245 0 
0.017 299 245 0 
0.008 298 245 0 
0.026 297 245 0 
0.134 297 245 1 
0.071 297 245 2 
